INCIDENT NUMBER,OFFENSE CODE,OFFENSE CODE GROUP,OFFENSE DESCRIPTION,DISTRICT,REPORTING AREA,SHOOTING,OCCURRED ON DATE,Hour,YEAR,MONTH,DAY OF WEEK,UCR PART,STREET,LAT,LONG,Location
I152049497,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E5,564,,6/15/15 7:10,7,2015,6,Monday,Part Three,WASHINGTON ST,42.29492396,-71.11910662,"(42.29492396, -71.11910662)"
I152049499,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,E18,490,,6/15/15 7:31,7,2015,6,Monday,Part Three,CUMMINS HWY,42.275316,-71.11081942,"(42.275316, -71.11081942)"
I152049504,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,D4,154,,6/15/15 7:34,7,2015,6,Monday,Part Three,W NEWTON ST,42.34225888,-71.07749696,"(42.34225888, -71.07749696)"
I152049505,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,D4,270,,6/15/15 8:33,8,2015,6,Monday,Part Three,HARRISON AVE,42.332102,-71.079283,"(42.332102, -71.079283)"
I152049517,3807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,D4,170,,6/15/15 9:05,9,2015,6,Monday,Part Three,WASHINGTON ST,42.337444,-71.07563631,"(42.337444, -71.07563631)"
I152049529,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E5,551,,6/15/15 9:40,9,2015,6,Monday,Part Three,BEECH ST,42.27651058,-71.13417555,"(42.27651058, -71.13417555)"
I152049542,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,329,,6/15/15 11:10,11,2015,6,Monday,Part Three,BLUE HILL AVE,42.30938437,-71.08262277,"(42.30938437, -71.08262277)"
I152049561,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,373,,6/15/15 12:04,12,2015,6,Monday,Part Three,FREEPORT ST,42.29234068,-71.04803996,"(42.29234068, -71.04803996)"
I152049571,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ðDAMAGE,D14,749,,6/15/15 12:10,12,2015,6,Monday,Part Three,COMMONWEALTH AVE,42.33987101,-71.16642615,"(42.33987101, -71.16642615)"
I152049613,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E18,,,6/15/15 13:00,13,2015,6,Monday,Part Three,,,,"(0E-8, 0E-8)"
