Rank,City,Country,Extra Info,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Description,imgsrc,imgurl,DescriptionB
1,Canberra, Australia,,222.99,141.65,73.91,81.03,77.54,5.85,23.3,14.71,79.57,"With a population of 381,488, it is Australia's largest inland city and the eighth-largest city overall. The city is located at the northern end of the Australian Capital Territory (ACT), 280 km (170 mi) south-west of Sydney, and 660 km (410 mi) north-east of Melbourne. ",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Canberra_viewed_from_Mount_Ainslie.jpg/870px-Canberra_viewed_from_Mount_Ainslie.jpg,,"With a population of 381,488, it is Australia's largest inland city and the eighth-largest city overall. The city is located at the northern end of the Australian Capital Territory (ACT), 280 km (170 mi) south-west of Sydney, and 660 km (410 mi) north-east of Melbourne. "
2,Raleigh, United States, NC,217.92,146.98,71.38,76.16,72.69,2.6,30.67,20,77.57,"Raleigh is the capital of the state of North Carolina and the seat of Wake County in the United States. Raleigh is known as the ""City of Oaks"" for its many oak trees, which line the streets in the heart of the city. It is one of the fastest-growing cities in the country.",https://peopledotcom.files.wordpress.com/2016/08/raleigh-01-800.jpg?w=800,,"Raleigh is the capital of the state of North Carolina and the seat of Wake County in the United States. Raleigh is known as the ""City of Oaks"" for its many oak trees, which line the streets in the heart of the city. It is one of the fastest-growing cities in the country."
3,Wellington, New Zealand,,213.66,120.31,70.15,69.53,77.3,5.81,25.07,11.15,87.79,"Wellington, the capital of New Zealand, sits near the North Island's southernmost point on the Cook Strait. A compact city, it encompasses a waterfront promenade, sandy beaches, a working harbour and colourful timber houses on surrounding hills. From Lambton Quay, the iconic red Wellington Cable Car heads to the Wellington Botanic Gardens. Strong winds through the Cook Strait give it the nickname ""Windy Wellington.""",https://www.wellingtonnz.com/assets/Uploads/images/0-PROMO-SPECIFIC-SIZING/Homepage-Heroes/_resampled/FillWyIxMTM2IiwiNjY1Il0/Wellington-City-Dawn-homepagelanding-Dillon-Anderson.jpg,,"Wellington, the capital of New Zealand, sits near the North Island's southernmost point on the Cook Strait. A compact city, it encompasses a waterfront promenade, sandy beaches, a working harbour and colourful timber houses on surrounding hills. From Lambton Quay, the iconic red Wellington Cable Car heads to the Wellington Botanic Gardens. Strong winds through the Cook Strait give it the nickname ""Windy Wellington."""
4,Victoria, Canada,,202.78,118.14,65.63,67.9,73.78,5.38,27.3,12.5,75.35,"Victoria, capital of British Columbia, sits on the craggy southern end of Vancouver Island. With abundant parkland, it's known for outdoor activities. The city's British colonial past shows in its Victorian architecture, including stately Craigdarroch Castle mansion. Butchart Gardens, with 55 acres of vivid floral displays, plus statuary, water features and a carousel, is one of many formal gardens in the city.",http://www.hellobc.com/getmedia/5f968a97-eec9-48ff-9b3b-10f353fb7f44/1-2616-Victoria-Inner-Harbour.jpg.aspx,,"Victoria, capital of British Columbia, sits on the craggy southern end of Vancouver Island. With abundant parkland, it's known for outdoor activities. The city's British colonial past shows in its Victorian architecture, including stately Craigdarroch Castle mansion. Butchart Gardens, with 55 acres of vivid floral displays, plus statuary, water features and a carousel, is one of many formal gardens in the city."
5,Edinburgh, United Kingdom,,200.47,100.17,70.97,80.63,72.04,7.09,20.59,15.57,69.68,"Edinburgh is Scotland's compact, hilly capital. It has a medieval Old Town and elegant Georgian New Town with gardens and neoclassical buildings. Looming over the city is Edinburgh Castle, home to Scotland's crown jewels and the Stone of Destiny, used in the coronation of Scottish rulers. Arthur's Seat is an imposing peak in Holyrood Park with sweeping views, and Calton Hill is topped with monuments and memorials.",http://edinburgh.org/media/743094/Cityscape.jpg,,"Edinburgh is Scotland's compact, hilly capital. It has a medieval Old Town and elegant Georgian New Town with gardens and neoclassical buildings. Looming over the city is Edinburgh Castle, home to Scotland's crown jewels and the Stone of Destiny, used in the coronation of Scottish rulers. Arthur's Seat is an imposing peak in Holyrood Park with sweeping views, and Calton Hill is topped with monuments and memorials."
6,Adelaide, Australia,,199.84,110.82,66.28,73.29,80.25,5.95,29.92,21.98,89.35,"Adelaide is South Australia's cosmopolitan coastal capital. Its ring of parkland on the River Torrens is home to renowned museums such as the Art Gallery of South Australia, displaying expansive collections including noted Indigenous art, and the South Australian Museum, devoted to natural history. The city's Adelaide Festival is an annual international arts gathering with spin-offs including fringe and film events.",https://media-cdn.tripadvisor.com/media/photo-s/07/8b/62/94/adelaide.jpg,,"Adelaide is South Australia's cosmopolitan coastal capital. Its ring of parkland on the River Torrens is home to renowned museums such as the Art Gallery of South Australia, displaying expansive collections including noted Indigenous art, and the South Australian Museum, devoted to natural history. The city's Adelaide Festival is an annual international arts gathering with spin-offs including fringe and film events."
7,Eindhoven, Netherlands,,196.38,116.79,74.63,87.37,70.28,5.12,30.36,20.53,50.9,"Eindhoven is a city in the province of North Brabant in the south Netherlands. Known as a technology and design hub, it's the birthplace of Philips electronics, which built the Philips Stadium, home to the PSV soccer team. The Philips Museum traces the company's design history. Nearby, the Van Abbemuseum focuses on art and design. Northwest, the former industrial complex Strijp-S houses design shops and restaurants.",http://www.leknes.com/wp-content/uploads/2015/11/002.jpg,,"Eindhoven is a city in the province of North Brabant in the south Netherlands. Known as a technology and design hub, it's the birthplace of Philips electronics, which built the Philips Stadium, home to the PSV soccer team. The Philips Museum traces the company's design history. Nearby, the Van Abbemuseum focuses on art and design. Northwest, the former industrial complex Strijp-S houses design shops and restaurants."
8,Vienna, Austria,,195.78,98.5,78.19,81.05,68.59,13.68,25.55,18.97,75.37,"Vienna, Austria's capital, lies in the country's east on the Danube River. Its artistic and intellectual legacy was shaped by residents including Mozart, Beethoven and Sigmund Freud. The city is also known for its Imperial palaces, including Sch'nbrunn, the Habsburgs' summer residence. In the MuseumsQuartier district, historic and contemporary buildings display works by Egon Schiele, Gustav Klimt and other artists.",https://lonelyplanetimages.imgix.net/mastheads/stock-photo-st-stephens-church-112868985.jpg?sharp=10&vib=20&w=1200,,"Vienna, Austria's capital, lies in the country's east on the Danube River. Its artistic and intellectual legacy was shaped by residents including Mozart, Beethoven and Sigmund Freud. The city is also known for its Imperial palaces, including Sch'nbrunn, the Habsburgs' summer residence. In the MuseumsQuartier district, historic and contemporary buildings display works by Egon Schiele, Gustav Klimt and other artists."
9,San Diego, United States, CA,194.78,128.92,63.44,74.68,77.93,5.83,43.09,34.57,95.27,"San Diego is a city on the Pacific coast of California known for its beaches, parks and warm climate. Immense Balboa Park is the site of the renowned San Diego Zoo, as well as numerous art galleries, artist studios, museums and gardens. A deep harbor is home to a large active naval fleet, with the USS Midway, an aircraft-carrier-turned-museum, open to the public.",http://media3.trover.com/T/504bab6326c48d128a00139c/fixedw_large_2x.jpg,,"San Diego is a city on the Pacific coast of California known for its beaches, parks and warm climate. Immense Balboa Park is the site of the renowned San Diego Zoo, as well as numerous art galleries, artist studios, museums and gardens. A deep harbor is home to a large active naval fleet, with the USS Midway, an aircraft-carrier-turned-museum, open to the public."
10,Melbourne, Australia,,193.71,127.42,58.98,75.15,80.31,7.61,35.9,29.63,89.15,"Melbourne is the coastal capital of the southeastern Australian state of Victoria. At the city's centre is the modern Federation Square development, with plazas, bars, and restaurants by the Yarra River. In the Southbank area, the Melbourne Arts Precinct is the site of Arts Centre Melbourne ' a performing arts complex ' and the National Gallery of Victoria, with Australian and indigenous art.",http://cd.visitmelbourne.com/-/media/images/melbourne/destinations/melbourne-park_mel_r_supplied-082_1150x863.jpg?ts=20170206471229&w=480&h=360&crop=1|http://cd.visitmelbourne.com/-/media/images/melbourne/destinations/melbourne-park_mel_r_supplied-082_1150x863.jpg?ts=20170206471229&w=720&h=540&crop=1,,"Melbourne is the coastal capital of the southeastern Australian state of Victoria. At the city's centre is the modern Federation Square development, with plazas, bars, and restaurants by the Yarra River. In the Southbank area, the Melbourne Arts Precinct is the site of Arts Centre Melbourne ' a performing arts complex ' and the National Gallery of Victoria, with Australian and indigenous art."
