INCIDENT NUMBER,OFFENSE CODE,OFFENSE CODE GROUP,OFFENSE DESCRIPTION,DISTRICT,REPORTING AREA,SHOOTING,OCCURRED ON DATE,Hour,YEAR,MONTH,DAY OF WEEK,UCR PART,STREET,LAT,LONG,Location
I162070944,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,441,,08/31/2016 05:44:00 PM,17,2016,8,Wednesday,Part One,NIGHTINGALE ST,42.29474312,-71.08503786,"(42.29474312, -71.08503786)"
I162013208,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,766,,02/17/2016 04:00:00 PM,16,2016,2,Wednesday,Part One,CRESTHILL RD,42.35598557,-71.15825105,"(42.35598557, -71.15825105)"
I162032397,00613,Larceny,LARCENY SHOPLIFTING,B2,257,,04/26/2016 02:33:00 PM,14,2016,4,Tuesday,Part One,COLUMBIA RD,42.315969,-71.066253,"(42.315969, -71.066253)"
I162081219,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,188,,10/02/2016 08:00:00 PM,20,2016,10,Sunday,Part One,MOUNT VERNON ST,42.32231617,-71.05873107,"(42.32231617, -71.05873107)"
I162028943,00615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,C11,254,,04/12/2016 12:00:00 PM,12,2016,4,Tuesday,Part One,AUCKLAND ST,42.31049858,-71.05675537,"(42.31049858, -71.05675537)"
I162013270,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,336,,02/19/2016 01:41:00 PM,13,2016,2,Friday,Part One,COLUMBIA RD,42.31007897,-71.07228855,"(42.31007897, -71.07228855)"
I162045074,00724,Auto Theft,AUTO THEFT,D14,,,06/08/2016 07:49:10 AM,7,2016,6,Wednesday,Part One,,,,"(0E-8, 0E-8)"
I162029401,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,571,,04/15/2016 10:51:00 PM,22,2016,4,Friday,Part One,MONTEBELLO RD,42.31176766,-71.09971564,"(42.31176766, -71.09971564)"
I162074069,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,769,,09/11/2016 09:59:00 AM,9,2016,9,Sunday,Part One,FANEUIL ST,42.3557137,-71.15532953,"(42.3557137, -71.15532953)"
I162007176,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B2,321,,01/27/2016 11:13:00 AM,11,2016,1,Wednesday,Other,ELM HILL PARK,42.31282634,-71.08335844,"(42.31282634, -71.08335844)"
I162072457,00613,Larceny,LARCENY SHOPLIFTING,D4,143,,09/05/2016 07:40:00 PM,19,2016,9,Monday,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I162039964,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A7,24,,05/11/2016 08:56:00 AM,8,2016,5,Wednesday,Part One,TRENTON ST,42.37887838,-71.03643423,"(42.37887838, -71.03643423)"
I162057970,00423,Aggravated Assault,ASSAULT - AGGRAVATED,E13,607,,07/20/2016 11:52:00 PM,23,2016,7,Wednesday,Part One,ARCOLA ST,42.32470968,-71.10880411,"(42.32470968, -71.10880411)"
I162015976,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,911,,02/29/2016 08:05:00 AM,8,2016,2,Monday,Part One,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)"
I162079885,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,318,,09/29/2016 06:46:00 PM,18,2016,9,Thursday,Part One,BROOKLEDGE ST,42.30956305,-71.08990197,"(42.30956305, -71.08990197)"
I162006525,00541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,A1,108,,01/23/2016 10:30:00 AM,10,2016,1,Saturday,Part One,PEARL ST,42.35488211,-71.05369166,"(42.35488211, -71.05369166)"
I162060387,00617,Larceny,LARCENY THEFT FROM BUILDING,E13,912,,07/28/2016 04:11:00 PM,16,2016,7,Thursday,Part One,LAMARTINE ST,42.32214915,-71.10091019,"(42.32214915, -71.10091019)"
I162058131,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,164,,07/21/2016 11:33:00 AM,11,2016,7,Thursday,Part One,WASHINGTON ST,42.3425571,-71.067378,"(42.3425571, -71.067378)"
I162063702,00616,Larceny,LARCENY THEFT OF BICYCLE,D4,142,,08/05/2016 07:15:00 AM,7,2016,8,Friday,Part One,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
I162067868,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,611,,08/21/2016 08:43:00 PM,20,2016,8,Sunday,Part One,RIVERWAY,42.33359101,-71.11175636,"(42.33359101, -71.11175636)"
I162047544,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,,,06/15/2016 10:13:00 PM,22,2016,6,Wednesday,Other,,,,"(0E-8, 0E-8)"
I162019515,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,773,,03/12/2016 10:44:00 PM,22,2016,3,Saturday,Part One,FOSTER ST,42.340474,-71.1595293,"(42.340474, -71.1595293)"
I162048839,00617,Larceny,LARCENY THEFT FROM BUILDING,A1,97,,06/20/2016 10:10:00 AM,10,2016,6,Monday,Part One,TREMONT ST,42.35907171,-71.05973044,"(42.35907171, -71.05973044)"
I162071004,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B2,329,,08/31/2016 09:21:00 PM,21,2016,8,Wednesday,Part One,DEVON ST,42.30812619,-71.07692974,"(42.30812619, -71.07692974)"
I162027559,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,,,04/09/2016 06:08:00 PM,18,2016,4,Saturday,Part One,,,,"(0E-8, 0E-8)"
I162070196,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,100,,08/29/2016 01:42:00 PM,13,2016,8,Monday,Part One,WATER ST,42.35814629,-71.05464996,"(42.35814629, -71.05464996)"
I162010774,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,820,,02/09/2016 07:45:00 PM,19,2016,2,Tuesday,Part One,CAMBRIDGE ST,42.35602999,-71.13132737,"(42.35602999, -71.13132737)"
I162002009,00724,Auto Theft,AUTO THEFT,E18,531,,01/07/2016 08:30:00 PM,20,2016,1,Thursday,Part One,BUCKINGHAM ST,42.24171455,-71.13413382,"(42.24171455, -71.13413382)"
I162058703,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,120,,07/23/2016 11:37:00 AM,11,2016,7,Saturday,Part One,PARK PLZ,42.35143483,-71.06969334,"(42.35143483, -71.06969334)"
I162071809,00616,Larceny,LARCENY THEFT OF BICYCLE,A15,38,,09/02/2016 05:00:00 PM,17,2016,9,Friday,Part One,THIRD AVE,42.37560402,-71.05490071,"(42.37560402, -71.05490071)"
I162055187,00617,Larceny,LARCENY THEFT FROM BUILDING,E5,,,06/25/2016 05:00:00 PM,17,2016,6,Saturday,Part One,,,,"(0E-8, 0E-8)"
I162015790,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,365,,02/28/2016 11:55:00 AM,11,2016,2,Sunday,Part One,KING ST,42.29207443,-71.06149929,"(42.29207443, -71.06149929)"
I162071717,00616,Larceny,LARCENY THEFT OF BICYCLE,,,,09/02/2016 05:30:00 PM,17,2016,9,Friday,Part One,,42.35011219,-71.0773153,"(42.35011219, -71.0773153)"
I162039007,00301,Robbery,ROBBERY - STREET,D4,619,,05/16/2016 11:35:00 PM,23,2016,5,Monday,Part One,WESTLAND AVE,42.34376458,-71.08866865,"(42.34376458, -71.08866865)"
I162077894,00724,Auto Theft,AUTO THEFT,E18,542,,09/17/2016 06:00:00 PM,18,2016,9,Saturday,Part One,RIVER ST,42.25477484,-71.12838562,"(42.25477484, -71.12838562)"
I162080983,00619,Larceny,LARCENY ALL OTHERS,E13,581,,10/03/2016 05:26:00 PM,17,2016,10,Monday,Part One,BICKFORD ST,42.32483301,-71.10164757,"(42.32483301, -71.10164757)"
