INCIDENT NUMBER,OFFENSE CODE,OFFENSE CODE GROUP,OFFENSE DESCRIPTION,DISTRICT,REPORTING AREA,SHOOTING,OCCURRED ON DATE,Hour,YEAR,MONTH,DAY OF WEEK,UCR PART,STREET,LAT,LONG,Location
I162070944,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,441,,08/31/2016 05:44:00 PM,17,2016,8,Wednesday,Part One,NIGHTINGALE ST,42.29474312,-71.08503786,"(42.29474312, -71.08503786)"
I162013270,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,336,,02/19/2016 01:41:00 PM,13,2016,2,Friday,Part One,COLUMBIA RD,42.31007897,-71.07228855,"(42.31007897, -71.07228855)"
I162029401,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,571,,04/15/2016 10:51:00 PM,22,2016,4,Friday,Part One,MONTEBELLO RD,42.31176766,-71.09971564,"(42.31176766, -71.09971564)"
I162074069,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,769,,09/11/2016 09:59:00 AM,9,2016,9,Sunday,Part One,FANEUIL ST,42.3557137,-71.15532953,"(42.3557137, -71.15532953)"
I162039964,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A7,24,,05/11/2016 08:56:00 AM,8,2016,5,Wednesday,Part One,TRENTON ST,42.37887838,-71.03643423,"(42.37887838, -71.03643423)"
I162057970,00423,Aggravated Assault,ASSAULT - AGGRAVATED,E13,607,,07/20/2016 11:52:00 PM,23,2016,7,Wednesday,Part One,ARCOLA ST,42.32470968,-71.10880411,"(42.32470968, -71.10880411)"
I162079885,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,318,,09/29/2016 06:46:00 PM,18,2016,9,Thursday,Part One,BROOKLEDGE ST,42.30956305,-71.08990197,"(42.30956305, -71.08990197)"
I162006525,00541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,A1,108,,01/23/2016 10:30:00 AM,10,2016,1,Saturday,Part One,PEARL ST,42.35488211,-71.05369166,"(42.35488211, -71.05369166)"
I162067868,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,611,,08/21/2016 08:43:00 PM,20,2016,8,Sunday,Part One,RIVERWAY,42.33359101,-71.11175636,"(42.33359101, -71.11175636)"
I162019515,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,773,,03/12/2016 10:44:00 PM,22,2016,3,Saturday,Part One,FOSTER ST,42.340474,-71.1595293,"(42.340474, -71.1595293)"
