INCIDENT NUMBER,OFFENSE CODE,OFFENSE CODE GROUP,OFFENSE DESCRIPTION,DISTRICT,REPORTING AREA,SHOOTING,OCCURRED ON DATE,Hour,YEAR,MONTH,DAY OF WEEK,UCR PART,STREET,LAT,LONG,Location
I162070944,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,441,,08/31/2016 05:44:00 PM,17,2016,8,Wednesday,Part One,NIGHTINGALE ST,42.29474312,-71.08503786,"(42.29474312, -71.08503786)"
I162054939,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A1,86,,07/09/2016 07:39:00 PM,19,2016,7,Saturday,Part One,SALEM ST,42.36339791,-71.05600208,"(42.36339791, -71.05600208)"
I162022296,01402,Vandalism,VANDALISM,C6,225,,03/20/2016 01:00:00 PM,13,2016,3,Sunday,Part Two,E FOURTH ST,42.33466323,-71.04153186,"(42.33466323, -71.04153186)"
I162080973,01402,Vandalism,VANDALISM,B3,482,,10/03/2016 04:40:00 PM,16,2016,10,Monday,Part Two,RIVER ST,42.26681254,-71.09566961,"(42.26681254, -71.09566961)"
I162043191,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E13,582,,06/01/2016 09:44:00 PM,21,2016,6,Wednesday,Part Two,WALDEN ST,42.32387703,-71.10409269,"(42.32387703, -71.10409269)"
I162056666,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,,,07/16/2016 04:10:00 PM,16,2016,7,Saturday,Part Two,,42.3425037,-71.10178609,"(42.3425037, -71.10178609)"
I162005000,01402,Vandalism,VANDALISM,E5,720,,01/16/2016 11:00:00 PM,23,2016,1,Saturday,Part Two,SPRING ST,42.27789689,-71.1614094,"(42.27789689, -71.1614094)"
I162029816,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,300,,04/17/2016 03:10:00 PM,15,2016,4,Sunday,Part Two,THORNTON ST,42.32337421,-71.09103005,"(42.32337421, -71.09103005)"
I162012392,01402,Vandalism,VANDALISM,B2,257,,02/12/2016 06:00:00 PM,18,2016,2,Friday,Part Two,,,,"(0E-8, 0E-8)"
I162035037,01402,Vandalism,VANDALISM,A1,127,,05/05/2016 09:34:00 PM,21,2016,5,Thursday,Part Two,CHARLES ST S,42.34877401,-71.06662866,"(42.34877401, -71.06662866)"
I162013270,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,336,,02/19/2016 01:41:00 PM,13,2016,2,Friday,Part One,COLUMBIA RD,42.31007897,-71.07228855,"(42.31007897, -71.07228855)"
